x,y,graph
0.0000,5.2079,1
0.0067,4.7501,1
0.0135,4.9411,1
0.0202,4.8626,1
0.0270,3.9987,1
0.0337,4.2114,1
0.0404,4.9009,1
0.0472,4.1051,1
0.0539,5.0730,1
0.0607,5.0918,1
0.0674,5.1921,1
0.0742,5.5267,1
0.0809,5.2256,1
0.0876,5.3995,1
0.0944,5.0784,1
0.1011,6.1600,1
0.1079,5.3393,1
0.1146,5.0570,1
0.1213,5.9793,1
0.1281,4.9911,1
0.1348,5.6058,1
0.1416,6.4503,1
0.1483,4.9821,1
0.1551,4.9030,1
0.1618,5.6735,1
0.1685,5.4710,1
0.1753,5.3293,1
0.1820,5.1986,1
0.1888,6.0902,1
0.1955,4.8069,1
0.2022,5.0298,1
0.2090,5.2433,1
0.2157,5.7235,1
0.2225,5.4714,1
0.2292,5.6040,1
0.2360,5.5015,1
0.2427,5.6237,1
0.2494,5.9691,1
0.2562,6.1847,1
0.2629,5.4174,1
0.2697,6.2567,1
0.2764,5.6846,1
0.2831,6.4703,1
0.2899,5.5656,1
0.2966,4.8737,1
0.3034,5.2586,1
0.3101,5.5977,1
0.3169,5.6353,1
0.3236,5.4049,1
0.3303,5.7634,1
0.3371,6.3457,1
0.3438,5.3984,1
0.3506,5.5744,1
0.3573,5.6287,1
0.3640,6.8037,1
0.3708,6.0323,1
0.3775,6.7395,1
0.3843,5.7633,1
0.3910,6.2241,1
0.3978,6.0506,1
0.4045,5.5237,1
0.4112,5.4202,1
0.4180,5.9342,1
0.4247,5.6685,1
0.4315,5.8032,1
0.4382,5.7824,1
0.4449,6.4406,1
0.4517,5.0454,1
0.4584,5.8357,1
0.4652,5.7295,1
0.4719,5.9912,1
0.4787,4.6390,1
0.4854,5.0128,1
0.4921,6.8101,1
0.4989,5.3287,1
0.5056,6.0140,1
0.5124,5.2092,1
0.5191,5.8945,1
0.5258,5.4153,1
0.5326,6.7849,1
0.5393,5.8296,1
0.5461,5.6895,1
0.5528,6.0207,1
0.5596,6.4401,1
0.5663,5.6561,1
0.5730,5.6559,1
0.5798,5.9232,1
0.5865,5.7545,1
0.5933,6.9311,1
0.6000,6.4732,1
0.1245,7.9449,1
0.5142,8.1514,1
0.1959,7.6956,1
0.1124,6.6514,1
0.4457,9.8191,1
0.0337,8.5498,1
0.2408,8.6573,1
0.4974,7.0497,1
0.1860,8.9871,1
0.2518,6.5132,1
0.3900,5.7157,2
0.3967,5.3771,2
0.4035,6.2174,2
0.4102,5.8872,2
0.4170,5.9996,2
0.4237,5.9108,2
0.4304,6.1875,2
0.4372,6.5911,2
0.4439,6.7377,2
0.4507,6.6945,2
0.4574,5.4061,2
0.4642,5.7212,2
0.4709,6.9441,2
0.4776,7.2384,2
0.4844,5.0554,2
0.4911,5.7034,2
0.4979,5.9471,2
0.5046,6.1667,2
0.5113,5.3717,2
0.5181,7.0017,2
0.5248,6.3574,2
0.5316,6.0066,2
0.5383,6.4114,2
0.5451,6.0201,2
0.5518,6.5456,2
0.5585,6.2147,2
0.5653,5.7865,2
0.5720,6.3386,2
0.5788,5.6439,2
0.5855,5.4920,2
0.5922,6.5866,2
0.5990,6.5677,2
0.6057,6.6191,2
0.6125,5.8057,2
0.6192,6.0725,2
0.6260,7.0423,2
0.6327,5.7022,2
0.6394,5.9554,2
0.6462,6.2836,2
0.6529,5.5775,2
0.6597,5.5507,2
0.6664,5.9981,2
0.6731,6.1687,2
0.6799,7.3239,2
0.6866,6.1411,2
0.6934,6.3087,2
0.7001,6.2344,2
0.7069,6.4423,2
0.7136,7.3493,2
0.7203,6.2904,2
0.7271,5.4452,2
0.7338,6.7536,2
0.7406,6.5102,2
0.7473,6.2809,2
0.7540,6.7590,2
0.7608,5.3477,2
0.7675,6.8672,2
0.7743,6.2845,2
0.7810,5.5813,2
0.7878,5.7350,2
0.7945,6.9973,2
0.8012,6.4398,2
0.8080,6.7144,2
0.8147,6.2771,2
0.8215,6.2319,2
0.8282,6.9916,2
0.8349,6.9923,2
0.8417,6.2848,2
0.8484,6.2758,2
0.8552,6.1271,2
0.8619,7.2838,2
0.8687,7.3345,2
0.8754,7.4973,2
0.8821,7.0302,2
0.8889,7.3532,2
0.8956,6.7103,2
0.9024,7.5268,2
0.9091,7.3055,2
0.9158,6.2880,2
0.9226,7.7440,2
0.9293,6.9565,2
0.9361,7.0537,2
0.9428,6.7315,2
0.9496,7.3704,2
0.9563,6.4641,2
0.9630,7.1047,2
0.9698,6.8872,2
0.9765,6.6900,2
0.9833,6.6099,2
0.9900,7.0063,2
0.6572,9.7525,2
0.7385,8.1042,2
0.4415,8.2149,2
0.9130,8.2622,2
0.6155,7.3364,2
0.7866,10.2289,2
0.8514,8.0890,2
0.8312,10.0044,2
0.8190,9.0745,2
0.4297,9.4692,2
