index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
0,1000,0.50,500,2,10,0.9315,0,215.00,0.325828
1,1000,0.50,500,2,10,0.9842,1,230.00,0.592882
2,1000,0.50,500,2,10,1.0207,2,225.00,1.408793
3,1000,0.50,500,2,10,1.0226,3,212.00,0.024269
4,1000,0.50,500,2,10,1.0154,4,241.00,1.372812
5,1000,0.50,500,2,10,0.9804,5,211.00,1.113709
6,1000,0.50,500,2,10,1.0261,6,194.00,0.320794
7,1000,0.50,500,2,10,1.0434,7,219.00,0.777226
8,1000,0.50,500,2,10,1.0463,8,99.00,0.320539
9,1000,0.50,500,2,10,1.0136,9,217.00,5.879191
10,1000,0.50,500,2,10,0.9362,10,238.00,1.529170
11,1000,0.50,500,2,10,0.9741,11,205.00,2.277122
12,1000,0.50,500,2,10,0.9991,12,219.00,0.469057
13,1000,0.50,500,2,10,0.9900,13,212.00,0.122473
14,1000,0.50,500,2,10,1.0109,14,225.00,2.843610
15,1000,0.50,500,2,10,0.9968,15,224.00,2.535934
16,1000,0.50,500,2,10,1.0011,16,216.00,0.947467
17,1000,0.50,500,2,10,0.9751,17,229.00,0.618454
18,1000,0.50,500,2,10,1.0156,18,210.00,0.222441
19,1000,0.50,500,2,10,0.9637,19,228.00,1.311218
20,1000,0.50,500,2,10,1.0189,20,215.00,1.139284
21,1000,0.50,500,2,10,1.0141,21,237.00,0.545463
22,1000,0.50,500,2,10,1.0379,22,216.00,0.572524
23,1000,0.50,500,2,10,1.0186,23,201.00,1.738569
24,1000,0.50,500,2,10,1.0568,24,237.00,1.212620
25,1000,0.50,500,2,10,0.9725,25,215.00,2.249137
26,1000,0.50,500,2,10,0.9462,26,224.00,0.144752
27,1000,0.50,500,2,10,0.9839,27,219.00,0.286142
28,1000,0.50,500,2,10,0.9794,28,234.00,0.361186
29,1000,0.50,500,2,10,1.0255,29,227.00,0.690844
30,1000,0.50,500,2,10,0.9652,30,189.00,0.582365
31,1000,0.50,500,2,10,0.9689,31,220.00,0.439565
32,1000,0.50,500,2,10,1.0130,32,230.00,0.094372
33,1000,0.50,500,2,10,1.0042,33,215.00,0.124258
34,1000,0.50,500,2,10,1.0147,34,221.00,2.694879
35,1000,0.50,500,2,10,1.0081,35,224.00,1.826019
36,1000,0.50,500,2,10,1.0147,36,252.00,2.868834
37,1000,0.50,500,2,10,0.9962,37,204.00,0.495559
38,1000,0.50,500,2,10,1.0270,38,232.00,0.773536
39,1000,0.50,500,2,10,1.0319,39,211.00,0.611583
40,1000,0.50,500,2,10,0.9769,40,248.00,0.814485
41,1000,0.50,500,2,10,0.9847,41,204.00,0.020125
42,1000,0.50,500,2,10,0.9940,42,227.00,0.507537
43,1000,0.50,500,2,10,1.0201,43,233.00,0.508585
44,1000,0.50,500,2,10,1.0029,44,197.00,0.058641
45,1000,0.50,500,2,10,0.9922,45,230.00,1.925351
46,1000,0.50,500,2,10,1.0759,46,216.00,0.556571
47,1000,0.50,500,2,10,1.0314,47,215.00,6.600418
48,1000,0.50,500,2,10,1.0437,48,250.00,0.738919
49,1000,0.50,500,2,10,1.0508,49,218.00,0.872712
50,1000,0.50,500,2,10,1.0039,50,230.00,0.445269
51,1000,0.50,500,2,10,1.0003,51,229.00,0.064141
52,1000,0.50,500,2,10,1.0178,52,203.00,1.179491
53,1000,0.50,500,2,10,1.0028,53,230.00,0.146279
54,1000,0.50,500,2,10,0.9695,54,224.00,0.290074
55,1000,0.50,500,2,10,1.0201,55,200.00,0.312289
56,1000,0.50,500,2,10,1.0248,56,217.00,0.326685
57,1000,0.50,500,2,10,0.9930,57,198.00,0.290308
58,1000,0.50,500,2,10,1.0535,58,211.00,0.621804
59,1000,0.50,500,2,10,1.0030,59,229.00,0.947531
60,1000,0.50,500,2,10,1.0443,60,201.00,0.644982
61,1000,0.50,500,2,10,1.0084,61,205.00,5.819072
62,1000,0.50,500,2,10,1.0325,62,201.00,1.412344
63,1000,0.50,500,2,10,1.0150,63,230.00,0.086153
64,1000,0.50,500,2,10,1.0111,64,234.00,0.669517
65,1000,0.50,500,2,10,1.0061,65,215.00,0.213651
66,1000,0.50,500,2,10,1.0243,66,229.00,0.144612
67,1000,0.50,500,2,10,1.0302,67,237.00,1.702369
68,1000,0.50,500,2,10,0.9985,68,243.00,0.353433
69,1000,0.50,500,2,10,0.9606,69,205.00,1.137443
70,1000,0.50,500,2,10,1.0500,70,223.00,2.913451
71,1000,0.50,500,2,10,0.9469,71,211.00,2.511399
72,1000,0.50,500,2,10,1.0276,72,195.00,3.039409
73,1000,0.50,500,2,10,1.0075,73,228.00,0.063849
74,1000,0.50,500,2,10,1.0177,74,229.00,0.166370
75,1000,0.50,500,2,10,0.9798,75,203.00,0.654332
76,1000,0.50,500,2,10,1.0011,76,224.00,1.266753
77,1000,0.50,500,2,10,1.0400,77,221.00,0.421595
78,1000,0.50,500,2,10,0.9854,78,210.00,0.409317
79,1000,0.50,500,2,10,0.9937,79,213.00,0.897441
80,1000,0.50,500,2,10,1.0080,80,193.00,0.107729
81,1000,0.50,500,2,10,1.0117,81,203.00,1.459504
82,1000,0.50,500,2,10,1.0193,82,227.00,0.348347
83,1000,0.50,500,2,10,0.9966,83,203.00,0.611525
84,1000,0.50,500,2,10,1.0039,84,220.00,1.147854
85,1000,0.50,500,2,10,1.0352,85,201.00,6.985689
86,1000,0.50,500,2,10,1.0644,86,225.00,2.067890
87,1000,0.50,500,2,10,0.9814,87,205.00,0.330303
88,1000,0.50,500,2,10,1.0208,88,197.00,0.382156
89,1000,0.50,500,2,10,0.9889,89,218.00,0.401817
90,1000,0.50,500,2,10,1.0434,90,228.00,3.319140
91,1000,0.50,500,2,10,0.9812,91,229.00,0.379084
92,1000,0.50,500,2,10,1.0642,92,236.00,1.140544
93,1000,0.50,500,2,10,0.9690,93,221.00,0.079424
94,1000,0.50,500,2,10,1.0182,94,245.00,1.073733
95,1000,0.50,500,2,10,1.0416,95,243.00,1.994499
96,1000,0.50,500,2,10,0.9965,96,84.00,0.652429
97,1000,0.50,500,2,10,1.0618,97,202.00,0.177176
98,1000,0.50,500,2,10,1.0135,98,235.00,0.497283
99,1000,0.50,500,2,10,0.9453,99,216.00,0.127439
100,1000,0.50,500,2,20,1.0510,0,343.00,0.389434
101,1000,0.50,500,2,20,0.9532,1,400.00,1.100154
102,1000,0.50,500,2,20,0.9711,2,397.00,0.107726
103,1000,0.50,500,2,20,1.0001,3,457.00,0.054336
104,1000,0.50,500,2,20,0.9704,4,381.00,0.101824
105,1000,0.50,500,2,20,1.0296,5,393.00,0.080323
106,1000,0.50,500,2,20,1.0037,6,417.00,0.740536
107,1000,0.50,500,2,20,1.0042,7,408.00,0.478718
108,1000,0.50,500,2,20,0.9753,8,423.00,0.293108
109,1000,0.50,500,2,20,1.0238,9,445.00,0.423320
110,1000,0.50,500,2,20,0.9985,10,421.00,0.082896
111,1000,0.50,500,2,20,0.9745,11,421.00,0.763540
112,1000,0.50,500,2,20,1.0023,12,453.00,0.161023
113,1000,0.50,500,2,20,1.0231,13,452.00,3.082305
114,1000,0.50,500,2,20,0.9979,14,398.00,0.649125
115,1000,0.50,500,2,20,1.0694,15,396.00,0.131131
116,1000,0.50,500,2,20,1.0176,16,415.00,0.305171
117,1000,0.50,500,2,20,0.9844,17,401.00,0.200075
118,1000,0.50,500,2,20,1.0163,18,431.00,0.387159
119,1000,0.50,500,2,20,1.0059,19,424.00,0.323059
120,1000,0.50,500,2,20,0.9734,20,419.00,0.184074
121,1000,0.50,500,2,20,0.9983,21,430.00,0.617016
122,1000,0.50,500,2,20,1.0049,22,402.00,0.510453
123,1000,0.50,500,2,20,0.9761,23,454.00,0.083400
124,1000,0.50,500,2,20,1.0197,24,404.00,0.594858
125,1000,0.50,500,2,20,0.9797,25,439.00,0.361856
126,1000,0.50,500,2,20,1.0230,26,436.00,0.745036
127,1000,0.50,500,2,20,1.0253,27,406.00,0.686289
128,1000,0.50,500,2,20,1.0310,28,438.00,0.719782
129,1000,0.50,500,2,20,1.0015,29,397.00,0.184252
130,1000,0.50,500,2,20,1.0107,30,403.00,0.222679
131,1000,0.50,500,2,20,1.0323,31,315.00,0.579939
