index,n,epsilon,d,m,k,t,pr,bias_type,repeat,time_mu_s,model_error
0,1000,0.10,900,2,17,0.9968,0.00,constant,0,390.00,0.179528
1,1000,0.10,900,2,17,0.9949,0.00,constant,1,364.00,0.052584
2,1000,0.10,900,2,17,0.9802,0.00,constant,2,353.00,0.341749
3,1000,0.10,900,2,17,1.0058,0.00,constant,3,354.00,0.226147
4,1000,0.10,900,2,17,0.9708,0.00,constant,4,338.00,0.153389
5,1000,0.10,900,2,17,0.9819,0.00,constant,5,373.00,0.159605
6,1000,0.10,900,2,17,0.9727,0.00,constant,6,342.00,0.046629
7,1000,0.10,900,2,17,0.9841,0.00,constant,7,373.00,0.176071
8,1000,0.10,900,2,17,0.9549,0.00,constant,8,375.00,0.114475
9,1000,0.10,900,2,17,0.9938,0.00,constant,9,369.00,0.172724
10,1000,0.10,900,2,17,1.0239,0.00,constant,10,380.00,0.225288
11,1000,0.10,900,2,17,0.9887,0.00,constant,11,368.00,0.072712
12,1000,0.10,900,2,17,1.0070,0.00,constant,12,354.00,0.049602
13,1000,0.10,900,2,17,1.0036,0.00,constant,13,333.00,0.172404
14,1000,0.10,900,2,17,0.9799,0.00,constant,14,376.00,0.139422
15,1000,0.10,900,2,17,1.0208,0.00,constant,15,346.00,0.140677
16,1000,0.10,900,2,17,1.0299,0.00,constant,16,357.00,0.244633
17,1000,0.10,900,2,17,0.9967,0.00,constant,17,359.00,0.044404
18,1000,0.10,900,2,17,1.0110,0.00,constant,18,366.00,0.131933
19,1000,0.10,900,2,17,1.0157,0.00,constant,19,356.00,0.054674
20,1000,0.10,900,2,17,1.0100,0.00,constant,20,358.00,0.060296
21,1000,0.10,900,2,17,0.9539,0.00,constant,21,365.00,0.136945
22,1000,0.10,900,2,17,1.0126,0.00,constant,22,355.00,0.053567
23,1000,0.10,900,2,17,1.0422,0.00,constant,23,323.00,0.205785
24,1000,0.10,900,2,17,1.0095,0.00,constant,24,343.00,0.061412
25,1000,0.10,900,2,17,1.0131,0.00,constant,25,383.00,0.186411
26,1000,0.10,900,2,17,0.9834,0.00,constant,26,378.00,0.113401
27,1000,0.10,900,2,17,0.9845,0.00,constant,27,353.00,0.215097
28,1000,0.10,900,2,17,0.9899,0.00,constant,28,336.00,0.029301
29,1000,0.10,900,2,17,0.9674,0.00,constant,29,362.00,0.323182
30,1000,0.10,900,2,17,1.0087,0.00,constant,30,355.00,0.120000
31,1000,0.10,900,2,17,1.0113,0.00,constant,31,382.00,0.080407
32,1000,0.10,900,2,17,0.9834,0.00,constant,32,398.00,0.176894
33,1000,0.10,900,2,17,0.9674,0.00,constant,33,351.00,0.091102
34,1000,0.10,900,2,17,1.0052,0.00,constant,34,355.00,0.119192
35,1000,0.10,900,2,17,0.9987,0.00,constant,35,359.00,0.211687
36,1000,0.10,900,2,17,0.9664,0.00,constant,36,346.00,0.152351
37,1000,0.10,900,2,17,1.0159,0.00,constant,37,320.00,0.122970
38,1000,0.10,900,2,17,1.0012,0.00,constant,38,384.00,0.053831
39,1000,0.10,900,2,17,0.9903,0.00,constant,39,362.00,0.079086
40,1000,0.10,900,2,17,1.0034,0.00,constant,40,365.00,0.187634
41,1000,0.10,900,2,17,0.9698,0.00,constant,41,380.00,0.206000
42,1000,0.10,900,2,17,1.0291,0.00,constant,42,343.00,0.045976
43,1000,0.10,900,2,17,1.0090,0.00,constant,43,374.00,0.129871
44,1000,0.10,900,2,17,1.0111,0.00,constant,44,332.00,0.030194
45,1000,0.10,900,2,17,0.9779,0.00,constant,45,332.00,0.070588
46,1000,0.10,900,2,17,1.0064,0.00,constant,46,351.00,0.030895
47,1000,0.10,900,2,17,0.9923,0.00,constant,47,343.00,0.086435
48,1000,0.10,900,2,17,0.9454,0.00,constant,48,349.00,0.080119
49,1000,0.10,900,2,17,0.9674,0.00,constant,49,373.00,0.046810
