index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
0,1000,0.50,500,2,17,0.2500,0.5,0,268.00,0.776784
1,1000,0.50,500,2,17,0.2500,0.5,1,281.00,1.194283
2,1000,0.50,500,2,17,0.2500,0.5,2,281.00,3.126619
3,1000,0.50,500,2,17,0.2500,0.5,3,300.00,0.181277
4,1000,0.50,500,2,17,0.2500,0.5,4,293.00,1.313402
5,1000,0.50,500,2,17,0.2500,0.5,5,306.00,0.271941
6,1000,0.50,500,2,17,0.2500,0.5,6,261.00,2.204676
7,1000,0.50,500,2,17,0.2500,0.5,7,284.00,3.848820
8,1000,0.50,500,2,17,0.2500,0.5,8,310.00,0.196856
9,1000,0.50,500,2,17,0.2500,0.5,9,291.00,0.753956
10,1000,0.50,500,2,17,0.2500,0.5,10,284.00,0.393926
11,1000,0.50,500,2,17,0.2500,0.5,11,288.00,1.551185
12,1000,0.50,500,2,17,0.2500,0.5,12,287.00,0.597364
13,1000,0.50,500,2,17,0.2500,0.5,13,274.00,1.424048
14,1000,0.50,500,2,17,0.2500,0.5,14,285.00,0.338258
15,1000,0.50,500,2,17,0.2500,0.5,15,286.00,2.742122
16,1000,0.50,500,2,17,0.2500,0.5,16,297.00,1.446739
17,1000,0.50,500,2,17,0.2500,0.5,17,287.00,0.370781
18,1000,0.50,500,2,17,0.2500,0.5,18,284.00,0.830239
19,1000,0.50,500,2,17,0.2500,0.5,19,277.00,0.356932
20,1000,0.50,500,2,17,0.2500,0.5,20,291.00,0.799344
21,1000,0.50,500,2,17,0.2500,0.5,21,298.00,1.034851
22,1000,0.50,500,2,17,0.2500,0.5,22,280.00,0.847337
23,1000,0.50,500,2,17,0.2500,0.5,23,281.00,0.197431
24,1000,0.50,500,2,17,0.2500,0.5,24,304.00,0.837126
25,1000,0.50,500,2,17,0.2500,0.5,25,319.00,0.201795
26,1000,0.50,500,2,17,0.2500,0.5,26,299.00,0.749732
27,1000,0.50,500,2,17,0.2500,0.5,27,280.00,2.384242
28,1000,0.50,500,2,17,0.2500,0.5,28,291.00,0.529242
29,1000,0.50,500,2,17,0.2500,0.5,29,318.00,1.025375
30,1000,0.50,500,2,17,0.2500,0.5,30,276.00,1.119771
31,1000,0.50,500,2,17,0.2500,0.5,31,285.00,0.292982
32,1000,0.50,500,2,17,0.2500,0.5,32,291.00,2.030844
33,1000,0.50,500,2,17,0.2500,0.5,33,307.00,0.176636
34,1000,0.50,500,2,17,0.2500,0.5,34,288.00,0.130494
35,1000,0.50,500,2,17,0.2500,0.5,35,285.00,0.449219
36,1000,0.50,500,2,17,0.2500,0.5,36,295.00,1.133302
37,1000,0.50,500,2,17,0.2500,0.5,37,295.00,0.771074
38,1000,0.50,500,2,17,0.2500,0.5,38,280.00,0.344715
39,1000,0.50,500,2,17,0.2500,0.5,39,279.00,0.251833
40,1000,0.50,500,2,17,0.2500,0.5,40,298.00,1.132608
41,1000,0.50,500,2,17,0.2500,0.5,41,269.00,3.614152
42,1000,0.50,500,2,17,0.2500,0.5,42,295.00,1.459977
43,1000,0.50,500,2,17,0.2500,0.5,43,272.00,1.390676
44,1000,0.50,500,2,17,0.2500,0.5,44,284.00,0.639080
45,1000,0.50,500,2,17,0.2500,0.5,45,283.00,0.287012
46,1000,0.50,500,2,17,0.2500,0.5,46,285.00,0.223919
47,1000,0.50,500,2,17,0.2500,0.5,47,287.00,0.436124
48,1000,0.50,500,2,17,0.2500,0.5,48,270.00,2.773856
49,1000,0.50,500,2,17,0.2500,0.5,49,303.00,1.166279
50,1000,0.50,500,2,17,0.2500,0.5,50,296.00,0.207415
51,1000,0.50,500,2,17,0.2500,0.5,51,306.00,0.261495
52,1000,0.50,500,2,17,0.2500,0.5,52,305.00,0.167299
53,1000,0.50,500,2,17,0.2500,0.5,53,301.00,0.534791
54,1000,0.50,500,2,17,0.2500,0.5,54,280.00,1.016196
55,1000,0.50,500,2,17,0.2500,0.5,55,298.00,0.258457
56,1000,0.50,500,2,17,0.2500,0.5,56,291.00,0.570283
57,1000,0.50,500,2,17,0.2500,0.5,57,254.00,9.018003
58,1000,0.50,500,2,17,0.2500,0.5,58,303.00,0.434187
59,1000,0.50,500,2,17,0.2500,0.5,59,298.00,0.307171
60,1000,0.50,500,2,17,0.2500,0.5,60,298.00,0.033509
61,1000,0.50,500,2,17,0.2500,0.5,61,267.00,4.942487
62,1000,0.50,500,2,17,0.2500,0.5,62,278.00,1.232279
63,1000,0.50,500,2,17,0.2500,0.5,63,296.00,0.391191
64,1000,0.50,500,2,17,0.2500,0.5,64,282.00,0.878671
65,1000,0.50,500,2,17,0.2500,0.5,65,282.00,1.088378
66,1000,0.50,500,2,17,0.2500,0.5,66,293.00,0.093265
